Nome,CPF,Endereço,Telefone,Email,Endereço coleta,Endereço entrega,Peso (kg),Volume (m³),Prioridade
Srta. Aurora Cunha,09943934232,"Passarela de Moraes, 12
Centro
67205869 Abreu / RO",+55 31 7931 1361,cardosobento@example.org,"Passarela de Moraes, 12
Centro
67205869 Abreu / RO","Trecho Albuquerque, 546
Centro
43145574 da Cunha Paulista / PB",7000,3,não
Ana Julia Aparecida,57633785123,"Ladeira Pinto, 96
Novo Glória
62714-209 Borges / RN",+55 21 6052 0810,kfonseca@example.net,"Ladeira Pinto, 96
Novo Glória
62714-209 Borges / RN","Recanto Zoe da Mata, 9
Sion
27723452 Nunes / MS",1000,3,sim
Srta. Caroline da Mota,07444264569,"Viela Campos, 5
São Tomaz
84365-276 Rezende das Pedras / SE",(011) 9750 8603,tmendonca@example.net,"Viela Campos, 5
São Tomaz
84365-276 Rezende das Pedras / SE","Distrito Maria Luísa Cassiano, 69
Belvedere
64137133 da Paz de Leão / MS",8000,4,sim
Gustavo Henrique Macedo,30708176100,"Viaduto Gabriela Aparecida, 53
Horto
79787704 Moraes / RJ",+55 41 2711 9863,mirella72@example.net,"Viaduto Gabriela Aparecida, 53
Horto
79787704 Moraes / RJ","Aeroporto Ana Sophia Mendonça, 56
Monte Azul
59584278 Casa Grande de Camargo / MA",5000,4,não
Gustavo Henrique Peixoto,97915931325,"Rua Almeida, 19
Bom Jesus
08722525 Porto / AM",+55 11 2113-3170,silveiravitoria@example.org,"Rua Almeida, 19
Bom Jesus
08722525 Porto / AM","Vereda Novais, 90
Mariano De Abreu
18008080 Nunes das Flores / PA",4000,3,sim
Mathias Abreu,50196001560,"Aeroporto Davi Rocha, 21
João Paulo Ii
24792325 Oliveira da Praia / RN",(084) 8711 3999,maria-isisrocha@example.org,"Aeroporto Davi Rocha, 21
João Paulo Ii
24792325 Oliveira da Praia / RN","Rodovia João Gabriel Vasconcelos, 156
Ernesto Nascimento
88522606 Cassiano / CE",10000,4,não
Sra. Sophia Mendes,86138285906,"Morro de Andrade, 30
Luxemburgo
74970325 Novaes / PB",(011) 3635 7602,vianamaria-luiza@example.com,"Morro de Andrade, 30
Luxemburgo
74970325 Novaes / PB","Trevo de Gomes, 10
Dom Joaquim
59530-129 Fernandes / GO",8000,1,sim
Srta. Maria Fernanda Costela,62781480137,"Pátio Caldeira, 58
Monsenhor Messias
91239-084 Guerra do Sul / AP",+55 31 5657 8295,cavalcantemaria-luiza@example.com,"Pátio Caldeira, 58
Monsenhor Messias
91239-084 Guerra do Sul / AP","Passarela de Melo
Pantanal
60971-967 Castro de Nunes / RJ",4000,1,não
Kaique Cirino,60657653093,"Viela Campos, 5
Buritis
89808-063 da Cruz / ES",+55 31 7262 2771,joao-felipecamara@example.com,"Viela Campos, 5
Buritis
89808-063 da Cruz / ES","Viaduto de Souza, 654
União
83112-694 Cavalcanti / MA",8000,2,não
Sra. Maria Fernanda Martins,10687523199,"Campo Oliveira, 30
Buraco Quente
86610197 Novaes dos Dourados / RN",61 0588 4515,gcastro@example.net,"Campo Oliveira, 30
Buraco Quente
86610197 Novaes dos Dourados / RN","Ladeira de da Rosa, 551
Santa Rita
64881675 Cardoso de Caldeira / MG",7000,5,não
Ayla Mendonça,12130355894,"Condomínio Valentim da Luz, 77
Santa Maria
22450-073 Souza da Serra / DF",+55 61 8448-2604,sduarte@example.net,"Condomínio Valentim da Luz, 77
Santa Maria
22450-073 Souza da Serra / DF","Rua Almeida
Conjunto Providencia
94799-415 Pacheco / MS",2000,5,sim
Lucas Jesus,59885333617,"Residencial de Correia, 65
São Geraldo
26546742 das Neves Alegre / MA",71 9805 9626,pereiraleticia@example.com,"Residencial de Correia, 65
São Geraldo
26546742 das Neves Alegre / MA","Fazenda de Dias, 65
Savassi
67077-823 Pacheco / MS",5000,3,sim
Henrique da Rocha,07842313970,"Parque de Rocha, 20
Vila Nova Gameleira 1ª Seção
78988009 Melo de Minas / SC",(071) 1126 5460,saliz@example.org,"Parque de Rocha, 20
Vila Nova Gameleira 1ª Seção
78988009 Melo de Minas / SC","Lago Maria Liz Câmara
Xodo-Marize
28792101 Sousa de Goiás / TO",2000,2,não
Sr. Ravi Aparecida,58826996490,"Travessa Renan Vargas, 3
São Bernardo
09671-735 Andrade da Serra / SP",84 4809-3119,giovannamontenegro@example.net,"Travessa Renan Vargas, 3
São Bernardo
09671-735 Andrade da Serra / SP","Vila João Miguel da Paz, 439
Horto
74958-163 da Costa da Serra / SP",3000,5,sim
Luiz Felipe Sales,36983407982,"Praça Freitas, 730
São Jorge 2ª Seção
72336-025 Duarte de Goiás / PE",21 0046-5639,asafecaldeira@example.net,"Praça Freitas, 730
São Jorge 2ª Seção
72336-025 Duarte de Goiás / PE","Parque de Pacheco, 61
Conjunto Jatoba
12418-203 da Costa Alegre / PR",5000,2,não
Amanda Siqueira,99238699033,"Praia de Abreu, 3
Cidade Nova
00402-670 Viana de Goiás / RR",+55 (071) 1410 8056,ipacheco@example.org,"Praia de Abreu, 3
Cidade Nova
00402-670 Viana de Goiás / RR","Condomínio Moura, 35
Corumbiara
61834770 Rios do Campo / PE",8000,3,não
José Miguel Sampaio,15186209907,"Setor de Silva, 29
Das Industrias I
67290-144 Martins / PB",(021) 8354-0852,murilo81@example.net,"Setor de Silva, 29
Das Industrias I
67290-144 Martins / PB","Rodovia Carlos Eduardo Gomes, 958
Dom Silverio
07560961 Aragão / PE",9000,2,não
Heloísa Nunes,26416380882,"Pátio Beatriz Azevedo, 86
Jaraguá
09394-497 Nogueira / AC",+55 41 1163-7124,guerraana-sophia@example.net,"Pátio Beatriz Azevedo, 86
Jaraguá
09394-497 Nogueira / AC","Colônia de Carvalho, 44
Teixeira Dias
60038-687 Alves / CE",7000,1,não
Emanuella Viana,02034964263,"Viela Teixeira
Paraíso
97608-929 Leão Paulista / PI",+55 (011) 8891 7656,yaraujo@example.org,"Viela Teixeira
Paraíso
97608-929 Leão Paulista / PI","Vale Machado, 6
Cidade Nova
68103650 Garcia / RS",1000,5,sim
Luiz Fernando Aragão,16736568626,"Feira Gustavo Henrique Aragão, 82
Santo André
59914-299 Azevedo / RS",(031) 5449-4242,emilly09@example.net,"Feira Gustavo Henrique Aragão, 82
Santo André
59914-299 Azevedo / RS","Trecho Sá, 68
Tirol
69654186 Almeida Alegre / RO",5000,1,sim
Francisco Vargas,83436326136,"Trecho Moura, 85
Conjunto Bonsucesso
15174-901 Fogaça / RR",+55 (081) 7081 9257,marianecosta@example.net,"Trecho Moura, 85
Conjunto Bonsucesso
15174-901 Fogaça / RR","Avenida Apollo Pacheco, 12
União
08907-207 Andrade / RJ",9000,3,não
Aurora Farias,30877200385,"Alameda Zoe Sampaio, 16
Nossa Senhora Do Rosário
52517-129 Cassiano do Oeste / PB",+55 84 0073 8922,psouza@example.com,"Alameda Zoe Sampaio, 16
Nossa Senhora Do Rosário
52517-129 Cassiano do Oeste / PB","Esplanada Cecília Mendonça, 43
Vila Dos Anjos
36592-849 Guerra / SC",7000,3,sim
Leonardo Melo,73298491032,"Morro Esther Ribeiro, 39
Camponesa 1ª Seção
87577281 Ferreira do Campo / MT",0800 475 3997,enzopastor@example.org,"Morro Esther Ribeiro, 39
Camponesa 1ª Seção
87577281 Ferreira do Campo / MT","Área de Vieira, 83
Jardim Guanabara
10492-890 Andrade da Serra / ES",5000,5,sim
Vitor Hugo Silveira,52710041479,"Ladeira Ana Lívia Siqueira, 560
União
38726929 Rodrigues do Oeste / RR",0500-114-1255,sabrina94@example.com,"Ladeira Ana Lívia Siqueira, 560
União
38726929 Rodrigues do Oeste / RR","Pátio João Pedro Nascimento, 81
Boa Vista
79540860 Fonseca / MT",2000,4,não
Clara Teixeira,41965114064,"Trevo Borges, 22
Juliana
56325158 Albuquerque de Guerra / PR",+55 61 3114 8564,ujesus@example.com,"Trevo Borges, 22
Juliana
56325158 Albuquerque de Guerra / PR","Feira Bento Souza, 6
São Geraldo
05025-360 Pires do Campo / RN",7000,2,não
Ana Liz Nunes,69785578460,"Viela Dias, 9
Vila São Rafael
86001-052 Nunes / PB",(051) 7399 5811,caroline26@example.net,"Viela Dias, 9
Vila São Rafael
86001-052 Nunes / PB","Vereda Caldeira, 69
Glória
50215-031 Siqueira Paulista / BA",1000,2,sim
Juliana Caldeira,16637867391,"Lagoa Luiz Fernando Lopes
Vila Canto Do Sabiá
04145-674 Aragão do Amparo / AP",+55 (041) 4521 0074,cdas-neves@example.com,"Lagoa Luiz Fernando Lopes
Vila Canto Do Sabiá
04145-674 Aragão do Amparo / AP","Estrada Bruna Vieira, 25
Alto Vera Cruz
39410165 Pires / PA",10000,2,não
Zoe Cavalcante,59588403558,"Viaduto Heitor Freitas, 66
São Francisco
10496-218 Gomes / MT",(071) 2257-3928,peixotoluiz-felipe@example.com,"Viaduto Heitor Freitas, 66
São Francisco
10496-218 Gomes / MT","Fazenda Ana Liz Pereira, 2
Vista Do Sol
38517863 Silva / DF",10000,1,não
João Fernandes,90508935891,"Setor de Leão, 3
Copacabana
16639-775 Câmara / AC",+55 71 8270-0052,brunada-mata@example.org,"Setor de Leão, 3
Copacabana
16639-775 Câmara / AC","Quadra Moreira, 27
Vila Mangueiras
78661-481 Teixeira / MT",3000,2,não
Sr. Pedro Dias,00472742206,"Setor de Monteiro, 54
Ouro Minas
43718979 da Mata de Casa Grande / MT",41 7566-3021,marquesfernanda@example.org,"Setor de Monteiro, 54
Ouro Minas
43718979 da Mata de Casa Grande / MT","Morro Nicolas Araújo, 16
Vila Paris
21918-558 Castro da Mata / ES",4000,3,não
Dr. Valentim Porto,55871301770,"Estrada Pedro Macedo
Nossa Senhora Da Conceição
57762-063 Fonseca / AM",11 1938 4251,cassianostella@example.com,"Estrada Pedro Macedo
Nossa Senhora Da Conceição
57762-063 Fonseca / AM","Vila de da Rocha
Santa Rita
16827-758 Araújo de Souza / RJ",9000,5,não
Alana da Cunha,76438901532,"Residencial de Borges, 13
Manacas
40227315 da Rocha das Pedras / BA",(011) 1730-6274,nathanda-mata@example.org,"Residencial de Borges, 13
Manacas
40227315 da Rocha das Pedras / BA","Conjunto de Souza, 75
Vila São João Batista
15287010 Costa Paulista / SC",2000,2,sim
Erick Costela,74087064967,"Colônia Ana Lívia Mendonça, 177
Novo Ouro Preto
46815-116 Ribeiro do Sul / BA",+55 (051) 9669 7224,ucardoso@example.com,"Colônia Ana Lívia Mendonça, 177
Novo Ouro Preto
46815-116 Ribeiro do Sul / BA","Ladeira Abreu, 636
Juliana
86555862 Cunha de Sá / PA",6000,2,sim
Luan da Conceição,23899210943,"Alameda Carvalho
Bacurau
44003-138 Peixoto da Prata / AL",0500-176-1942,freitasluna@example.com,"Alameda Carvalho
Bacurau
44003-138 Peixoto da Prata / AL","Residencial de Aragão, 32
Vila Copasa
12472212 da Mata do Oeste / PA",5000,3,não
Enzo Gabriel Camargo,72820871562,"Campo Benicio Gonçalves
São Gonçalo
42348-494 Carvalho / MA",+55 84 9006 6931,costelaasafe@example.org,"Campo Benicio Gonçalves
São Gonçalo
42348-494 Carvalho / MA","Avenida de Moura, 717
Vila Antena
80775949 Silveira do Oeste / MA",6000,1,sim
Emanuelly Aragão,98784872020,"Viaduto Dom Montenegro, 596
Vila Copacabana
40712050 Leão / PI",0900 198 2799,nataliamontenegro@example.org,"Viaduto Dom Montenegro, 596
Vila Copacabana
40712050 Leão / PI","Passarela Guerra, 651
São Sebastião
20877455 Correia / ES",2000,4,sim
Valentim Fonseca,41252227899,"Pátio da Rosa, 348
Piratininga
82277-020 Carvalho do Norte / SE",(031) 3285-3072,lorenapereira@example.org,"Pátio da Rosa, 348
Piratininga
82277-020 Carvalho do Norte / SE","Ladeira Cunha, 554
Camargos
64593-245 Azevedo / AL",8000,3,não
Sr. Samuel Macedo,77315190156,"Viaduto Teixeira
Cidade Jardim
40751445 Sá Paulista / MS",+55 84 2905 5260,vieiracatarina@example.net,"Viaduto Teixeira
Cidade Jardim
40751445 Sá Paulista / MS","Viaduto José Pedro Moura
Vila Suzana Segunda Seção
17010355 Silveira / RR",4000,2,não
Erick Gonçalves,10923136563,"Jardim de Mendonça
Marieta 3ª Seção
24777-682 Cirino / SC",(071) 4748-7774,ddas-neves@example.net,"Jardim de Mendonça
Marieta 3ª Seção
24777-682 Cirino / SC","Distrito Pedro Lucas Casa Grande
Barreiro
64786-070 Lopes / AC",5000,5,sim
Isaque Gonçalves,05465451490,"Colônia Brenda Sales, 46
Vila Atila De Paiva
72277041 Borges / RO",+55 11 3312-6947,pedro-lucasviana@example.net,"Colônia Brenda Sales, 46
Vila Atila De Paiva
72277041 Borges / RO","Alameda Ravy Porto, 15
Santa Sofia
87296503 Pires da Prata / PE",2000,2,não
Dr. Benício Marques,92255773208,"Residencial Albuquerque, 5
Santa Helena
65245971 Campos / MS",(011) 0137 1461,camargoyan@example.org,"Residencial Albuquerque, 5
Santa Helena
65245971 Campos / MS","Chácara de Melo
Nova Cachoeirinha
40518580 Martins do Amparo / SE",8000,4,não
Alexia Pimenta,09339373509,"Campo Cunha, 20
Jardim Montanhês
64480147 Lopes de Minas / SE",+55 21 1750-5917,zaraujo@example.org,"Campo Cunha, 20
Jardim Montanhês
64480147 Lopes de Minas / SE","Alameda de Mendes, 88
Vila Puc
83336-994 Lopes de Goiás / SE",4000,3,não
Dr. Marcos Vinicius Aparecida,23654027714,"Recanto Alana Nascimento, 99
Conjunto Lagoa
90067533 Azevedo de Goiás / MT",(011) 1409-1518,juliajesus@example.org,"Recanto Alana Nascimento, 99
Conjunto Lagoa
90067533 Azevedo de Goiás / MT","Via de Pacheco, 8
Vila Paris
12038-985 Costa / PR",1000,3,sim
Cauê Vasconcelos,46494483872,"Avenida Maria Laura da Luz, 67
Solimoes
15407-175 Dias / RR",(011) 3457 6994,afreitas@example.net,"Avenida Maria Laura da Luz, 67
Solimoes
15407-175 Dias / RR","Rodovia Anthony Gabriel da Costa, 30
Concórdia
44855390 Pacheco de Goiás / BA",3000,4,não
Pedro Henrique Abreu,15456674464,"Jardim Maria Alice da Rocha, 74
Morro Dos Macacos
84595-012 Abreu / PE",(061) 3632 6276,pedro-henrique96@example.org,"Jardim Maria Alice da Rocha, 74
Morro Dos Macacos
84595-012 Abreu / PE","Favela Allana Moreira, 21
Vila De Sá
76995-507 Gonçalves Grande / SE",7000,1,não
Dr. Théo Camargo,03870318983,"Pátio de Sampaio, 60
Vila São Dimas
60612446 Almeida / DF",+55 (071) 2021 0596,ana-vitoria42@example.com,"Pátio de Sampaio, 60
Vila São Dimas
60612446 Almeida / DF","Praça Moura
Vila Piratininga Venda Nova
88755-145 Cunha de Souza / TO",6000,5,sim
Luiz Miguel Sousa,47217113600,"Alameda Rocha, 212
Santa Monica
50859248 Sousa de Fonseca / CE",0900-996-2021,da-rosalucas@example.com,"Alameda Rocha, 212
Santa Monica
50859248 Sousa de Fonseca / CE","Setor Cassiano, 34
Paulo Vi
00312-686 Pinto da Prata / PE",6000,1,não
Lunna Campos,34028312954,"Chácara Bruna Nascimento, 20
Jardim São José
25743-299 Marques de da Rocha / CE",(071) 8226 6417,cecilia55@example.org,"Chácara Bruna Nascimento, 20
Jardim São José
25743-299 Marques de da Rocha / CE","Vereda Ágatha Teixeira, 10
Vila Atila De Paiva
74248501 da Mata dos Dourados / SE",4000,3,não
Olivia Pinto,66942898041,"Praia de Macedo, 6
Vila Copacabana
14683-082 Costa de Machado / MT",31 4474-4447,luiz-fernando13@example.net,"Praia de Macedo, 6
Vila Copacabana
14683-082 Costa de Machado / MT","Via Caio Lopes, 114
Marçola
82312-071 Ribeiro / SP",2000,1,sim
Liam Martins,81668372691,"Avenida Caleb Vasconcelos, 12
Palmares
43504-036 Garcia / AL",41 9578 8434,fernanda31@example.com,"Avenida Caleb Vasconcelos, 12
Palmares
43504-036 Garcia / AL","Conjunto de Correia, 853
Vila Fumec
03350608 Alves de Cavalcante / BA",7000,4,sim
João Felipe Fonseca,20441000706,"Trevo Valentim Novais
Vila Pinho
56168282 Gonçalves / DF",+55 (081) 1687 9094,marcelo62@example.com,"Trevo Valentim Novais
Vila Pinho
56168282 Gonçalves / DF","Residencial de Marques, 48
Milionario
79319883 Fogaça / SE",2000,1,sim
Srta. Vitória Borges,65781510280,"Alameda Barbosa, 23
Jaqueline
01328-279 Dias / BA",71 1945-5041,joao-guilhermegoncalves@example.net,"Alameda Barbosa, 23
Jaqueline
01328-279 Dias / BA","Praça Luigi da Mata, 3
Mariano De Abreu
60939222 Alves / RO",5000,1,não
Dr. Yuri Câmara,33412940070,"Colônia Barbosa, 40
Conjunto Paulo Vi
74204858 Costa da Prata / RS",(011) 4871 5561,cassianojuliana@example.net,"Colônia Barbosa, 40
Conjunto Paulo Vi
74204858 Costa da Prata / RS","Conjunto Murilo Cardoso, 60
Corumbiara
94497-641 Brito / PI",2000,3,não
Dra. Luiza Silva,92757334300,"Feira Barros, 4
Cinquentenário
77845840 da Luz Verde / AL",61 7349-5379,alananovaes@example.org,"Feira Barros, 4
Cinquentenário
77845840 da Luz Verde / AL","Viela Valentina Rocha, 110
Nova Cintra
68231-262 Ribeiro / RN",3000,4,não
Ana Clara Fogaça,14317271564,"Vale da Cunha, 82
Buraco Quente
83158042 Nascimento / RJ",81 5954-2417,da-cunhaallana@example.org,"Vale da Cunha, 82
Buraco Quente
83158042 Nascimento / RJ","Feira de Novaes
João Alfredo
92388608 da Paz da Serra / AL",7000,1,sim
Diogo Carvalho,50303263088,"Travessa Marcos Vinicius Caldeira, 8
Santa Sofia
44968700 Marques / PI",+55 11 7764-4962,ana-livia59@example.net,"Travessa Marcos Vinicius Caldeira, 8
Santa Sofia
44968700 Marques / PI","Via Correia, 87
Boa União 2ª Seção
90312-668 Silva / RS",5000,2,não
Brayan Borges,27840963274,"Morro de Barbosa, 712
Parque São José
15238-539 Caldeira / AC",(021) 8514 7666,rbarbosa@example.net,"Morro de Barbosa, 712
Parque São José
15238-539 Caldeira / AC","Passarela de da Costa, 49
Andiroba
58984-035 Campos / PA",7000,5,não
Vitor Gabriel Vargas,91719392961,"Lago Correia, 27
Vila São Gabriel Jacui
34646-695 Novais / PE",+55 (031) 4611-3717,emillyda-mota@example.com,"Lago Correia, 27
Vila São Gabriel Jacui
34646-695 Novais / PE","Esplanada de Rodrigues, 42
Buritis
21620673 da Mota dos Dourados / ES",10000,5,não
Dra. Maria Júlia Caldeira,47860872894,"Ladeira de Rodrigues, 39
Conjunto Minas Caixa
63618782 da Mota de Rocha / AM",(081) 6135 2359,lara05@example.com,"Ladeira de Rodrigues, 39
Conjunto Minas Caixa
63618782 da Mota de Rocha / AM","Praça de Moraes, 45
São Paulo
48493527 Peixoto / AM",2000,2,sim
Davi Lucca Câmara,62035105213,"Trecho Fernanda Pacheco, 622
Aguas Claras
78489611 Pires / AC",+55 21 9940-0592,cnascimento@example.com,"Trecho Fernanda Pacheco, 622
Aguas Claras
78489611 Pires / AC","Estrada Silveira, 6
Das Industrias I
86133-738 Cirino da Praia / RJ",10000,4,sim
Yasmin Garcia,56411623375,"Vila Sampaio, 24
Marieta 1ª Seção
36212-325 Jesus do Norte / AM",+55 (061) 8241 2170,valmeida@example.net,"Vila Sampaio, 24
Marieta 1ª Seção
36212-325 Jesus do Norte / AM","Esplanada Souza, 63
Vila Pilar
75831-893 Farias / AP",10000,3,sim
Srta. Mirella Alves,78390635008,"Via de Porto, 132
Nova Cintra
57786-901 Freitas / RS",+55 (011) 9821 2254,nicolas68@example.net,"Via de Porto, 132
Nova Cintra
57786-901 Freitas / RS","Alameda Clarice Correia, 83
Vista Alegre
35261-898 Cirino de Monteiro / PE",5000,4,não
Stephany da Rosa,78147553791,"Campo Maria Helena Rodrigues, 59
Vila Real 2ª Seção
27257-817 Santos de Abreu / MS",(081) 8127-5790,borgesantonella@example.net,"Campo Maria Helena Rodrigues, 59
Vila Real 2ª Seção
27257-817 Santos de Abreu / MS","Feira de Jesus, 81
Vila Madre Gertrudes 4ª Seção
57123850 Ribeiro / MS",10000,2,sim
Arthur Miguel Brito,40462451407,"Estrada de Barros
Engenho Nogueira
76675256 Cirino do Campo / AP",+55 31 2712 3821,gmarques@example.org,"Estrada de Barros
Engenho Nogueira
76675256 Cirino do Campo / AP","Viaduto Garcia, 472
Petropolis
24227480 Borges / PA",2000,3,não
Nathan Farias,31812638693,"Vereda Fernanda Albuquerque, 5
Vila Da Paz
66602686 da Rocha / AM",0300-497-6232,pastormaria-luiza@example.org,"Vereda Fernanda Albuquerque, 5
Vila Da Paz
66602686 da Rocha / AM","Vila Oliveira, 325
Ipe
34088-094 Vasconcelos de Sampaio / MA",1000,2,não
Ana Clara Siqueira,82675724142,"Feira Stephany Pastor, 6
Marajó
46531463 da Conceição do Campo / RO",+55 11 5432 0595,prezende@example.net,"Feira Stephany Pastor, 6
Marajó
46531463 da Conceição do Campo / RO","Vereda Vasconcelos, 5
Vila União
41947-483 Mendonça / DF",1000,4,sim
Alícia Guerra,56289130909,"Condomínio Moraes, 16
Conjunto Jardim Filadélfia
65723344 Barros / CE",+55 (051) 0670 1808,rsampaio@example.net,"Condomínio Moraes, 16
Conjunto Jardim Filadélfia
65723344 Barros / CE","Ladeira Manuela Carvalho, 540
Mantiqueira
75027376 Abreu / SC",9000,1,sim
Ester Ribeiro,80235529370,"Morro de Cavalcanti, 73
Novo São Lucas
11175-244 da Costa / PA",51 1383 1616,fdias@example.com,"Morro de Cavalcanti, 73
Novo São Lucas
11175-244 da Costa / PA","Conjunto de Montenegro, 4
Cabana Do Pai Tomás
86184-391 Ribeiro dos Dourados / AP",9000,5,não
